symbol	ensembl
LTA	
CRYBG2	ENSG00000176092
HTR4	ENSG00000164270
NDUFAB1	ENSG00000004779
SERPINA3	ENSG00000196136
E11S	
TNNT3	
SCN11A	ENSG00000168356
MEGF6	ENSG00000162591
CD33	ENSG00000105383
RGS2	ENSG00000116741
GPR32	ENSG00000142511
ANGPT2	ENSG00000091879
DCP1B	
CPN1	ENSG00000120054
HPGD	ENSG00000164120
FKBP1B	ENSG00000119782
GRK6P1	
RPL23	ENSG00000125691
EEF2	ENSG00000167658
GABRP	ENSG00000094755
GABRG1	ENSG00000163285
SLC25A10	ENSG00000183048
PTPRB	ENSG00000127329
GABRA3	ENSG00000011677
A2MP1	
ELAVL2	ENSG00000107105
CTSH	ENSG00000103811
DRD4	
TANK	ENSG00000136560
IL10RA	ENSG00000110324
CES2	ENSG00000172831
CD44	ENSG00000026508
AFF2	ENSG00000155966
PPARA	ENSG00000186951
POLE	ENSG00000177084
PSMD12	ENSG00000197170
UBC	ENSG00000150991
DTNB	ENSG00000138101
TUSC2	ENSG00000114383
ATP5F1E	ENSG00000124172
ALDH3A1	ENSG00000108602
IPO11	ENSG00000086200
ETV4	ENSG00000175832
MAP4K4	ENSG00000071054
FGF18	ENSG00000156427
APOE	ENSG00000130203
GALNT14	ENSG00000158089
RPL9P8	ENSG00000293320
IRF3	ENSG00000126456
MSANTD1	ENSG00000188981
KRT10	ENSG00000186395
CORO7	
ASS1P5	ENSG00000227881
FRA5D	
CLDN3	ENSG00000165215
LCT	ENSG00000115850
IDO2	ENSG00000188676
FANCC	ENSG00000158169
MAGEA1	ENSG00000198681
HLA-DOB	
MIR1264	ENSG00000276158
SCN2A	ENSG00000136531
PSMD6	ENSG00000163636
IL12A	ENSG00000168811
ARHGAP1	ENSG00000175220
FPGS	ENSG00000136877
CD34	ENSG00000174059
ATP5A2	
SSTR3	ENSG00000278195
SUFU	ENSG00000107882
MAPK7	ENSG00000166484
BST1	ENSG00000109743
PLA2G7	ENSG00000146070
RXRB	
BTD	ENSG00000169814
SLC12A5	ENSG00000124140
TIGD1	ENSG00000221944
NFIB	ENSG00000147862
INHBA	ENSG00000122641
SLC22A11	ENSG00000168065
SHBG	ENSG00000129214
VAMP2	ENSG00000220205
FAAH	ENSG00000117480
FGB	ENSG00000171564
ACADL	ENSG00000115361
TAAR1	ENSG00000146399
CDC25B	ENSG00000101224
CREB1	ENSG00000118260
DFFB	ENSG00000169598
PDGFB	ENSG00000100311
HOXD13	ENSG00000128714
TRPM6	ENSG00000119121
TRIM5	ENSG00000132256
MAP4K5	ENSG00000012983
GRIK5	ENSG00000105737
NOS1	ENSG00000089250
BEST3	ENSG00000127325
EBM	
CBFB	ENSG00000067955
ITGB8	ENSG00000105855
IL21	ENSG00000138684
PLCB1	ENSG00000182621
RPS6KA3	ENSG00000177189
CES1P1	ENSG00000291109
NOD2	ENSG00000167207
FRA8E	
CXCR5	ENSG00000160683
GRIA1	ENSG00000155511
CDK13	ENSG00000065883
ADRM1	ENSG00000130706
HTRA1	ENSG00000166033
GRIK1-AS2	
FSHMD1A	
AMHR2	ENSG00000135409
MARK1	ENSG00000116141
CRIP2	ENSG00000182809
IFNA4	ENSG00000236637
C1R	
MT1G	ENSG00000125144
CGA	ENSG00000135346
ASIC2	ENSG00000108684
APLNR	ENSG00000134817
ATP5ME	ENSG00000169020
TIGIT	ENSG00000181847
NUAK1	ENSG00000074590
ARSD	ENSG00000006756
G6PD	ENSG00000160211
RPL30	ENSG00000156482
STEAP1	ENSG00000164647
CATHL1L	
IFNA7	ENSG00000214042
AGTR2	ENSG00000180772
GYS2	ENSG00000111713
RPS27A	ENSG00000143947
S100A8	ENSG00000143546
P2RY11	ENSG00000244165
KCNK10	ENSG00000100433
APOA1	ENSG00000118137
BRINP1	ENSG00000078725
TAF1	ENSG00000147133
IGFBP3	ENSG00000146674
MCAM	ENSG00000076706
GAS1	ENSG00000180447
AMELY	ENSG00000099721
NPHS1	ENSG00000161270
CHST13	ENSG00000180767
SLC2A2	ENSG00000163581
DNMT3B	ENSG00000088305
FRA5A	
NR6A1	ENSG00000148200
AOC3	ENSG00000131471
CPT2	ENSG00000157184
FLCN	ENSG00000154803
CLCN2	ENSG00000114859
ASIC1	ENSG00000110881
RND3	ENSG00000115963
ITGB3	ENSG00000259207
PSME4	ENSG00000068878
SLC5A5	ENSG00000105641
