hgnc_id,symbol,locus_type,seq_region,start,stop
"5","A1BG","gene with protein product","19","58345178","58353492"
"7","A2M","gene with protein product","12","9067664","9116229"
"8","A2MP1","pseudogene","12","9228533","9275817"
"15","NATP","pseudogene","8","18370607","18371484"
"16","SERPINA3","gene with protein product","14","94612384","94624055"
"17","AADAC","gene with protein product","3","151814073","151828488"
"18","AAMP","gene with protein product","2","218264129","218270178"
"19","AANAT","gene with protein product","17","76453351","76470117"
"20","AARS1","gene with protein product","16","70251983","70289707"
"21","AATK","gene with protein product","17","81110487","81166221"
"22","AAVS1","virus integration site","","",""
"23","ABAT","gene with protein product","16","8674596","8784575"
"29","ABCA1","gene with protein product","9","104781006","104928155"
"30","ABCA10","gene with protein product","17","69147214","69244846"
"31","ABCA11P","pseudogene","4","425435","474129"
"32","ABCA2","gene with protein product","9","137007234","137028915"
"33","ABCA3","gene with protein product","16","2275881","2340746"
"34","ABCA4","gene with protein product","1","93992834","94121148"
"35","ABCA5","gene with protein product","17","69244311","69327244"
"36","ABCA6","gene with protein product","17","69078702","69141895"
"37","ABCA7","gene with protein product","19","1039997","1065572"
"38","ABCA8","gene with protein product","17","68867289","68955392"
"39","ABCA9","gene with protein product","17","68974488","69060949"
"40","ABCB1","gene with protein product","7","87503017","87713323"
"41","ABCB10","gene with protein product","1","229516582","229558707"
"42","ABCB11","gene with protein product","2","168915498","169031324"
"43","TAP1","gene with protein product","6","32845209","32853816"
"44","TAP2","gene with protein product","6","32821833","32838739"
"45","ABCB4","gene with protein product","7","87401696","87480435"
"46","ABCB5","gene with protein product","7","20615667","20777038"
"47","ABCB6","gene with protein product","2","219209772","219218994"
"48","ABCB7","gene with protein product","X","75051048","75156732"
"49","ABCB8","gene with protein product","7","151028422","151047782"
"50","ABCB9","gene with protein product","12","122920951","122981649"
"51","ABCC1","gene with protein product","16","15949138","16143257"
"52","ABCC10","gene with protein product","6","43427366","43450427"
"53","ABCC2","gene with protein product","10","99782640","99852594"
"54","ABCC3","gene with protein product","17","50634777","50692253"
"55","ABCC4","gene with protein product","13","95019835","95301475"
"56","ABCC5","gene with protein product","3","183919934","184017939"
"57","ABCC6","gene with protein product","16","16149565","16223522"
"59","ABCC8","gene with protein product","11","17392498","17476894"
"60","ABCC9","gene with protein product","12","21797389","21942543"
"61","ABCD1","gene with protein product","X","153724856","153744755"
"62","ABCD1P1","pseudogene","","",""
"63","ABCD1P2","pseudogene","10","38601418","38605609"
"64","ABCD1P3","pseudogene","16","32475051","32478250"
"65","ABCD1P4","pseudogene","22","16387694","16390887"
"66","ABCD2","gene with protein product","12","39550033","39619803"
"67","ABCD3","gene with protein product","1","94418389","94518666"
"68","ABCD4","gene with protein product","14","74285269","74303055"
"69","ABCE1","gene with protein product","4","145098288","145129524"
"70","ABCF1","gene with protein product","6","30571393","30597179"
"71","ABCF2","gene with protein product","7","151211484","151227205"
"72","ABCF3","gene with protein product","3","184186095","184194012"
"73","ABCG1","gene with protein product","21","42199689","42297244"
"74","ABCG2","gene with protein product","4","88090150","88231628"
"76","ABL1","gene with protein product","9","130713016","130887675"
"77","ABL2","gene with protein product","1","179099330","179229684"
"78","ABLIM1","gene with protein product","10","114431112","114768061"
"79","ABO","gene with protein product","9","133233278","133276024"
"80","AOC1","gene with protein product","7","150824627","150861504"
"81","ABR","gene with protein product","17","1003519","1229738"
"82","ACAA1","gene with protein product","3","38103129","38137242"
"83","ACAA2","gene with protein product","18","49782164","49813953"
"84","ACACA","gene with protein product","17","37084992","37406836"
"85","ACACB","gene with protein product","12","109116587","109268226"
"87","ACAD8","gene with protein product","11","134253548","134265855"
"88","ACADL","gene with protein product","2","210187126","210225447"
"89","ACADM","gene with protein product","1","75724431","75787575"
"90","ACADS","gene with protein product","12","120725774","120740008"
"91","ACADSB","gene with protein product","10","123008979","123058290"
"92","ACADVL","gene with protein product","17","7217125","7225266"
"93","ACAT1","gene with protein product","11","108116695","108147603"
"94","ACAT2","gene with protein product","6","159762045","159779112"
"95","SLC33A1","gene with protein product","3","155821024","155854456"
"99","ASIC2","gene with protein product","17","33013087","34174964"
"100","ASIC1","gene with protein product","12","50057548","50083611"
"101","ASIC3","gene with protein product","7","151048292","151052756"
"102","CNNM1","gene with protein product","10","99329356","99394330"
"103","CNNM2","gene with protein product","10","102918294","103090222"
"104","CNNM3","gene with protein product","2","96816245","96835382"
"105","CNNM4","gene with protein product","2","96760902","96811874"
"108","ACHE","gene with protein product","7","100889994","100896974"
"115","ACLY","gene with protein product","17","41866917","41930542"
"117","ACO1","gene with protein product","9","32384603","32454769"
"118","ACO2","gene with protein product","22","41447830","41529273"
"119","ACOX1","gene with protein product","17","75941507","75979177"
"120","ACOX2","gene with protein product","3","58505136","58537283"
"121","ACOX3","gene with protein product","4","8366282","8440723"
"122","ACP1","gene with protein product","2","264140","278283"
"123","ACP2","gene with protein product","11","47239302","47248906"
"124","ACP5","gene with protein product","19","11574660","11579008"
"125","ACP3","gene with protein product","3","132317369","132368298"
"126","ACR","gene with protein product","22","50738196","50745339"
"127","ACRV1","gene with protein product","11","125671522","125680874"
"129","ACTA1","gene with protein product","1","229430365","229434104"
"130","ACTA2","gene with protein product","10","88935074","88991339"
"132","ACTB","gene with protein product","7","5526409","5563902"
"133","POTEH","gene with protein product","22","15690026","15721631"
"134","ACTBP1","pseudogene","X","46288016","46289128"
"135","ACTBP2","pseudogene","5","77784881","77786003"
"136","ACTBP3","pseudogene","","",""
"137","ACTBP4","pseudogene","5","131659046","131660115"
"139","ACTBP6","pseudogene","8","84948585","84949674"
"140","ACTBP7","pseudogene","15","43989061","43990184"
"141","ACTBP8","pseudogene","6","88275882","88276989"
"142","ACTBP9","pseudogene","18","62442028","62443126"
"143","ACTC1","gene with protein product","15","34790230","34795549"
"144","ACTG1","gene with protein product","17","81509413","81523847"
"145","ACTG2","gene with protein product","2","73892314","73919865"
"146","ACTG1P1","pseudogene","3","139493809","139494937"
"147","ACTG1P2","pseudogene","Y","17757001","17758125"
"148","ACTG1P3","pseudogene","20","1160584","1161697"
"149","ACTG1P4","pseudogene","1","103569553","103570674"
"150","ACTBP12","pseudogene","1","92229018","92229435"
"151","ACTG1P6","pseudogene","","",""
"152","ACTG1P7","pseudogene","","",""
"153","ACTG1P8","pseudogene","","",""
"154","ACTG1P9","pseudogene","6","46204729","46207386"
"155","ACTG1P10","pseudogene","X","53142832","53143913"
"160","ACTL6B","gene with protein product","7","100643097","100656448"
"161","ACTL7A","gene with protein product","9","108862266","108863756"
"162","ACTL7B","gene with protein product","9","108854588","108855986"
"163","ACTN1","gene with protein product","14","68874128","68979440"
"164","ACTN2","gene with protein product","1","236664141","236764631"
"165","ACTN3","gene with protein product","11","66546395","66563334"
"166","ACTN4","gene with protein product","19","38647649","38731589"
"167","ACTR1A","gene with protein product","10","102461881","102502712"
"168","ACTR1B","gene with protein product","2","97655939","97664044"
"169","ACTR2","gene with protein product","2","65227788","65271253"
"170","ACTR3","gene with protein product","2","113890063","113962596"
"171","ACVR1","gene with protein product","2","157736251","157876330"
"172","ACVR1B","gene with protein product","12","51951699","51997078"
"173","ACVR2A","gene with protein product","2","147844517","147930826"
"174","ACVR2B","gene with protein product","3","38453890","38493142"
"175","ACVRL1","gene with protein product","12","51906908","51923361"
"177","ACY1","gene with protein product","3","51983340","51989197"
"179","ACYP1","gene with protein product","14","75053237","75069483"
"180","ACYP2","gene with protein product","2","53970838","54305300"
"186","ADA","gene with protein product","20","44619522","44652233"
"187","ADAM1A","pseudogene","12","111899263","111901391"
"188","ADAM10","gene with protein product","15","58588809","58749791"
"189","ADAM11","gene with protein product","17","44758988","44781846"
"190","ADAM12","gene with protein product","10","126012381","126388477"
"193","ADAM15","gene with protein product","1","155050566","155062775"
"195","ADAM17","gene with protein product","2","9488486","9556732"
"196","ADAM18","gene with protein product","8","39584489","39730065"
"197","ADAM19","gene with protein product","5","157395534","157575775"
"198","ADAM2","gene with protein product","8","39743735","39838227"
"199","ADAM20","gene with protein product","14","70522358","70535015"
"200","ADAM21","gene with protein product","14","70417107","70460427"
"201","ADAM22","gene with protein product","7","87934143","88202889"
"202","ADAM23","gene with protein product","2","206443532","206621127"
"203","ADAM24P","pseudogene","8","17469518","17471618"
"206","ADAM28","gene with protein product","8","24294069","24359014"
"207","ADAM29","gene with protein product","4","174829668","174978180"
"208","ADAM30","gene with protein product","1","119893533","119896515"
"209","ADAM3A","pseudogene","8","39451045","39522852"
"210","ADAM3B","pseudogene","16","49517762","49518601"
"212","ADAM5","pseudogene","8","39314591","39417378"
"213","ADAM6","pseudogene","14","105969729","105972269"
"214","ADAM7","gene with protein product","8","24440930","24526970"
"215","ADAM8","gene with protein product","10","133262420","133276868"
"216","ADAM9","gene with protein product","8","38996754","39105445"
"217","ADAMTS1","gene with protein product","21","26835755","26845409"
"218","ADAMTS2","gene with protein product","5","179110853","179345461"
"219","ADAMTS3","gene with protein product","4","72280969","72569221"
"220","ADAMTS4","gene with protein product","1","161184302","161199054"
"221","ADAMTS5","gene with protein product","21","26917922","26967088"
"222","ADAMTS6","gene with protein product","5","65148738","65481920"
"223","ADAMTS7","gene with protein product","15","78759206","78811464"
"224","ADAMTS8","gene with protein product","11","130404923","130428609"
"225","ADAR","gene with protein product","1","154581695","154628013"
"226","ADARB1","gene with protein product","21","45073853","45226560"
"227","ADARB2","gene with protein product","10","1177313","1737525"
"228","ADAT1","gene with protein product","16","75596868","75623300"
"229","ADCP1","unknown","","",""
"232","ADCY1","gene with protein product","7","45574140","45723116"
"233","ADCY2","gene with protein product","5","7396138","7830081"
"234","ADCY3","gene with protein product","2","24819169","24920237"
"235","ADCY4","gene with protein product","14","24318349","24335093"
"236","ADCY5","gene with protein product","3","123282296","123449090"
"237","ADCY6","gene with protein product","12","48766194","48789089"
"238","ADCY7","gene with protein product","16","50246137","50318135"
"239","ADCY8","gene with protein product","8","130780301","131040909"
"240","ADCY9","gene with protein product","16","3953387","4116442"
"241","ADCYAP1","gene with protein product","18","904871","912172"
"242","ADCYAP1R1","gene with protein product","7","31052308","31111479"
"243","ADD1","gene with protein product","4","2843844","2930076"
"244","ADD2","gene with protein product","2","70607618","70768225"
"245","ADD3","gene with protein product","10","109996368","110135565"
"248","PLIN2","gene with protein product","9","19108375","19149290"
"249","ADH1A","gene with protein product","4","99276369","99291003"
"250","ADH1B","gene with protein product","4","99304971","99352760"
"251","ADH1C","gene with protein product","4","99336497","99352746"
"252","ADH4","gene with protein product","4","99123657","99157792"
"253","ADH5","gene with protein product","4","99070978","99088801"
"255","ADH6","gene with protein product","4","99202638","99219537"
"256","ADH7","gene with protein product","4","99412261","99435510"
"257","ADK","gene with protein product","10","74151202","74709963"
"259","ADM","gene with protein product","11","10305073","10307397"
"262","ADORA1","gene with protein product","1","203090654","203167405"
"263","ADORA2A","gene with protein product","22","24417879","24442357"
"264","ADORA2B","gene with protein product","17","15945130","15975746"
"265","ADORA2BP1","pseudogene","1","209744373","209745214"
"268","ADORA3","gene with protein product","1","111499429","111503633"
"269","ADPRH","gene with protein product","3","119579268","119589945"
"270","PARP1","gene with protein product","1","226360210","226408154"
"271","PARP4","gene with protein product","13","24420931","24512778"
"272","PARP2","gene with protein product","14","20343615","20357904"
"273","PARP3","gene with protein product","3","51942345","51948867"
"274","PARP4P3","pseudogene","22","16653892","16659628"
"275","PARP1P1","pseudogene","13","110936759","110939784"
"276","PARP1P2","pseudogene","14","63123007","63123201"
"277","ADRA1A","gene with protein product","8","26748150","26867278"
"278","ADRA1B","gene with protein product","5","159865080","159973012"
"280","ADRA1D","gene with protein product","20","4220630","4249287"
"281","ADRA2A","gene with protein product","10","111077029","111080907"
"282","ADRA2B","gene with protein product","2","96112876","96116571"
"283","ADRA2C","gene with protein product","4","3766348","3768526"
"285","ADRB1","gene with protein product","10","114043866","114046904"
"286","ADRB2","gene with protein product","5","148826611","148828623"
"288","ADRB3","gene with protein product","8","37962990","37966599"
"289","GRK2","gene with protein product","11","67266473","67286556"
"290","GRK3","gene with protein product","22","25564675","25729294"
"291","ADSL","gene with protein product","22","40346461","40390463"
"292","ADSS2","gene with protein product","1","244408494","244451909"
"297","AP1B1P1","pseudogene","22","32121977","32133469"
"298","AP1B1P2","pseudogene","22","32134028","32134133"
"303","AEBP1","gene with protein product","7","44104345","44114562"
"304","CRISP1","gene with protein product","6","49834257","49877096"
"307","TLE5","gene with protein product","19","3052910","3063107"
"314","AFG3L1P","pseudogene","16","89972581","90002161"
"315","AFG3L2","gene with protein product","18","12328944","12377227"
"316","AFM","gene with protein product","4","73481745","73504001"
"317","AFP","gene with protein product","4","73431138","73456174"
"318","AGA","gene with protein product","4","177430774","177442437"
"319","ACAN","gene with protein product","15","88803436","88875353"
"320","AGER","gene with protein product","6","32180968","32184322"
"321","AGL","gene with protein product","1","99850361","99924023"
"324","AGPAT1","gene with protein product","6","32168212","32178096"
"325","AGPAT2","gene with protein product","9","136673143","136687457"
"326","AGPAT3","gene with protein product","21","43865223","43987592"
"327","AGPS","gene with protein product","2","177392746","177567024"
"328","AGR2","gene with protein product","7","16791811","16833433"
"329","AGRN","gene with protein product","1","1020120","1056118"
"330","AGRP","gene with protein product","16","67482571","67483547"
"333","AGT","gene with protein product","1","230690776","230745576"
"336","AGTR1","gene with protein product","3","148697784","148743008"
"338","AGTR2","gene with protein product","X","116170744","116174974"
"339","APLNR","gene with protein product","11","57233577","57237250"
"341","AGXT","gene with protein product","2","240868824","240880502"
"343","AHCY","gene with protein product","20","34280268","34311802"
"344","AHCYL1","gene with protein product","1","109984765","110023742"
"346","AHRR","gene with protein product","5","321714","438291"
"347","AHNAK","gene with protein product","11","62433542","62556235"
"348","AHR","gene with protein product","7","16916359","17346152"
"349","AHSG","gene with protein product","3","186613060","186621318"
"352","AIF1","gene with protein product","6","31615217","31617021"
"356","CRYBG1","gene with protein product","6","106360717","106572017"
"357","AIM2","gene with protein product","1","159062484","159147096"
"358","AIP","gene with protein product","11","67468174","67491154"
"359","AIPL1","gene with protein product","17","6393693","6435199"
"360","AIRE","gene with protein product","21","44285838","44298648"
"361","AK1","gene with protein product","9","127866486","127877675"
"362","AK2","gene with protein product","1","33007940","33080996"
"363","AK4","gene with protein product","1","65147549","65232145"
"364","AK4P1","pseudogene","17","31345519","31346190"
"365","AK5","gene with protein product","1","77282019","77559966"
"367","AKAP1","gene with protein product","17","57085092","57121346"
"368","AKAP10","gene with protein product","17","19904302","19978343"
"369","AKAP11","gene with protein product","13","42272152","42323261"
"370","AKAP12","gene with protein product","6","151239967","151358559"
"371","AKAP13","gene with protein product","15","85380571","85749358"
"372","AKAP2","complex locus constituent","","",""
"373","AKAP3","gene with protein product","12","4615508","4649051"
"374","AKAP4","gene with protein product","X","50190777","50201007"
"375","AKAP5","gene with protein product","14","64465499","64474503"
"376","AKAP6","gene with protein product","14","32329298","32837684"
"377","AKAP7","gene with protein product","6","131135467","131283535"
"378","AKAP8","gene with protein product","19","15353385","15379815"
"379","AKAP9","gene with protein product","7","91940840","92110673"
"380","AKR1A1","gene with protein product","1","45550543","45570049"
"381","AKR1B1","gene with protein product","7","134442356","134459284"
"382","AKR1B10","gene with protein product","7","134527567","134541412"
"384","AKR1C1","gene with protein product","10","4963253","4983283"
"385","AKR1C2","gene with protein product","10","4987775","5018031"
"386","AKR1C3","gene with protein product","10","5035354","5107686"
